Industry,Gender,Highest_Level_Of_Education_Completed,Average_Salary
"Early Education","Other or prefer not to answer","College Degree",40000.00
"Early Education",Woman,"College Degree",41333.33
"Early Education",Woman,"Master'S Degree",111750.00
Ecology,Woman,"Master'S Degree",64500.00
Economics,Woman,Phd,96462.00
"Ed Tech",Woman,"College Degree",66543.75
"Ed Tech",Woman,"Some College",42000.00
Education,Man,"College Degree",61588.77
Education,Man,"High School",49941.43
Education,Man,"Master'S Degree",72575.38
Education,Man,Phd,107374.85
Education,Man,"Professional Degree (Md, Jd, Etc.)",82761.00
Education,Man,"Some College",52789.83
Education,Man,Unknown,87552.00
Education,"Other or prefer not to answer","College Degree",47947.36
Education,"Other or prefer not to answer","High School",48000.00
Education,"Other or prefer not to answer","Master'S Degree",57991.08
Education,"Other or prefer not to answer",Phd,68429.82
Education,"Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",63273.88
Education,"Other or prefer not to answer","Some College",46000.00
Education,"Other or prefer not to answer",Unknown,61036.00
Education,Woman,"College Degree",54619.27
Education,Woman,"High School",46065.94
Education,Woman,"Master'S Degree",66856.60
Education,Woman,Phd,77922.55
Education,Woman,"Professional Degree (Md, Jd, Etc.)",78054.45
Education,Woman,"Some College",47669.38
Education,Woman,Unknown,55121.50
"Education ",Woman,"Master'S Degree",100000.00
"Emergency Management",Woman,"Master'S Degree",76000.00
Energy,Man,"High School",47000.00
Energy,Man,"Master'S Degree",132999.00
Energy,Man,Phd,170000.00
Energy,Man,"Professional Degree (Md, Jd, Etc.)",129315.00
Energy,Man,"Some College",111333.33
Energy,Man,Unknown,91520.00
Energy,"Other or prefer not to answer",Unknown,70720.00
Energy,Woman,"College Degree",101500.00
Energy,Woman,"Master'S Degree",152642.86
Energy,Woman,"Professional Degree (Md, Jd, Etc.)",148000.00
Energy,Woman,"Some College",62000.00
"Engineering Or Manufacturing",Man,"College Degree",94071.65
"Engineering Or Manufacturing",Man,"High School",80984.48
"Engineering Or Manufacturing",Man,"Master'S Degree",104077.93
"Engineering Or Manufacturing",Man,Phd,130368.48
