Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Digital Marketing Manager","8 - 10 years",782231.00
"Communications Manager","8 - 10 years",780730.80
"Research Manager","5-7 years",778550.00
Instructor,"11 - 20 years",777758.00
"Managing Editor","11 - 20 years",777337.40
Paralegal,"21 - 30 years",775569.00
"Instructional Designer","8 - 10 years",772009.30
"Senior Associate","2 - 4 years",770000.00
"Training Manager","11 - 20 years",766303.60
"Senior Data Analyst","5-7 years",765625.00
"Software Architect","31 - 40 years",764000.00
Rn,"8 - 10 years",762890.00
"Attorney ","8 - 10 years",760000.00
Cto,"11 - 20 years",758904.00
"Systems Engineer","2 - 4 years",758000.00
"Director Of Programs","11 - 20 years",757940.00
"Senior Engineer","8 - 10 years",755540.00
"Graphic Designer","8 - 10 years",755258.00
Attorney,"31 - 40 years",751500.00
"Senior Project Manager","21 - 30 years",750385.00
"Admin Manager","1 year or less",750000.00
"Graphic Designer","5-7 years",749550.00
"Devops Engineer","5-7 years",749054.00
"Senior Data Scientist","2 - 4 years",749000.00
"Product Owner","11 - 20 years",746875.00
"Senior Engineer","5-7 years",743000.00
"Senior Program Manager","5-7 years",742428.80
"Senior Financial Analyst","8 - 10 years",741403.00
"Senior Editor","21 - 30 years",741200.00
"Director ","5-7 years",740000.00
Owner,"11 - 20 years",735000.00
"Technical Editor","11 - 20 years",733233.00
"Registered Nurse","5-7 years",732325.00
Accountant,"21 - 30 years",732268.00
Coo,"11 - 20 years",730920.00
"Senior Marketing Manager","8 - 10 years",730030.50
"Managing Editor","21 - 30 years",730018.00
"Assistant General Counsel","21 - 30 years",730000.00
"Library Director","21 - 30 years",729122.00
"Chief Technology Officer","11 - 20 years",727000.00
"It Director","21 - 30 years",726641.00
"Research Associate","5-7 years",726241.00
"Sr. Software Engineer","8 - 10 years",724750.00
"Senior Project Manager","5-7 years",723900.00
"Senior Technical Writer","21 - 30 years",723292.40
"Senior Security Engineer","8 - 10 years",723000.00
"High School Teacher","11 - 20 years",721460.60
"Director Of It","21 - 30 years",719600.00
